,(not set),Anonymous User,Registered User,Subscriber - Piano,Subscriber - Quadrant,Unknown,Segment total,Total Users,Total subscribers
2020-05-19,807.0,152070,3230,16687.0,,,172794.0,172583,16687.0
2020-05-20,269.0,159740,3364,16822.0,,,180195.0,183534,16822.0
2020-05-21,1615.0,96759,5248,19783.0,,,123405.0,136369,19783.0
2020-05-22,942.0,111159,2557,15476.0,,,130134.0,141945,15476.0
2020-05-23,1346.0,213436,8209,21128.0,,,244119.0,292737,21128.0
2020-05-24,942.0,152204,4172,17091.0,,,174409.0,204178,17091.0
2020-05-25,1480.0,132556,4576,18437.0,,,157049.0,183517,18437.0
2020-05-26,673.0,119099,4037,20590.0,,,144399.0,161399,20590.0
2020-05-27,673.0,88147,2826,18706.0,,,110352.0,125567,18706.0
2020-05-28,1749.0,207245,6594,26108.0,,,241696.0,274882,26108.0
2020-05-29,1884.0,201862,4441,20994.0,,269.0,229450.0,267815,20994.0
2020-05-30,1211.0,104161,5114,20859.0,,135.0,131480.0,152832,20859.0
2020-05-31,942.0,74420,2691,14803.0,,,92856.0,103915,14803.0
2020-06-01,538.0,72132,2826,18168.0,,135.0,93799.0,106479,18168.0
2020-06-02,2691.0,130403,4441,23281.0,,135.0,160951.0,219645,23281.0
2020-06-03,2961.0,66884,2961,19110.0,,135.0,92051.0,103801,19110.0
2020-06-04,2153.0,81283,4441,22609.0,,135.0,110621.0,130810,22609.0
2020-06-05,1480.0,71863,3499,16284.0,,269.0,93395.0,108411,16284.0
2020-06-06,1480.0,90434,4441,19917.0,,135.0,116407.0,138706,19917.0
2020-06-07,1211.0,69306,3230,14938.0,,,88685.0,110900,14938.0
2020-06-08,2422.0,84648,4172,20321.0,,,111563.0,134927,20321.0
2020-06-09,1884.0,76304,3364,19917.0,,,101469.0,121698,19917.0
2020-06-10,1884.0,91107,4441,20590.0,,,118022.0,130675,20590.0
2020-06-11,3499.0,103084,6325,21936.0,,,134844.0,153309,21936.0
2020-06-12,2288.0,99182,3364,21936.0,,135.0,126905.0,140305,21936.0
2020-06-13,3095.0,78995,3634,19648.0,135.0,,105507.0,123414,19783.0
2020-06-14,1346.0,59617,2961,14669.0,,135.0,78728.0,88857,14669.0
2020-06-15,2826.0,84782,4576,19244.0,,,111428.0,126808,19244.0
2020-06-16,1749.0,55445,3095,18168.0,,,78457.0,93167,18168.0
2020-06-17,1346.0,51542,2691,17495.0,,,73074.0,86479,17495.0
2020-06-18,2422.0,100662,5518,25704.0,,,134306.0,165584,25704.0
2020-06-19,1480.0,83706,4172,20321.0,,,109679.0,126539,20321.0
2020-06-20,673.0,61501,3230,19110.0,,,84514.0,97368,19110.0
2020-06-21,1211.0,39834,2288,12785.0,,,56118.0,69459,12785.0
2020-06-22,1346.0,38219,2961,16418.0,,,58944.0,72781,16418.0
2020-06-23,2019.0,81956,4710,20321.0,,,109006.0,132449,20321.0
2020-06-24,1615.0,66615,3230,18840.0,,135.0,90435.0,103282,18840.0
2020-06-25,942.0,73478,4979,23012.0,,135.0,102546.0,115879,23012.0
2020-06-26,2019.0,67287,4576,20186.0,,,94068.0,100933,20186.0
