,Total page views,Amp page views,Subscriber page views,Anonymous page views
2021-03-01,,,,
2021-03-02,,,,
2021-03-03,,,,
2021-03-04,,,,
2021-03-05,,,,
2021-03-06,,,,
2021-03-07,258524.7142857143,8196.142857142857,114756.14285714286,135880.42857142858
2021-03-08,262612.85714285716,8838.142857142857,120595.28571428571,133807.0
2021-03-09,272303.14285714284,8588.714285714286,122097.57142857143,141879.85714285713
2021-03-10,281536.85714285716,9058.714285714286,122632.0,150488.42857142858
2021-03-11,275522.0,9846.857142857143,126967.57142857143,139450.7142857143
2021-03-12,286881.85714285716,10124.0,129492.42857142857,147902.0
2021-03-13,296896.14285714284,10552.285714285714,131471.2857142857,155653.0
2021-03-14,314544.0,11936.42857142857,136056.57142857142,168199.42857142858
2021-03-15,309058.0,11981.285714285714,131843.14285714287,167053.0
2021-03-16,300637.5714285714,11499.0,129250.14285714286,161387.42857142858
2021-03-17,296153.14285714284,11198.57142857143,129763.28571428571,156428.2857142857
2021-03-18,286114.71428571426,12952.285714285714,131101.0,145266.57142857142
2021-03-19,274378.85714285716,12795.714285714286,129281.57142857143,135385.14285714287
2021-03-20,268000.28571428574,12681.857142857143,129872.85714285714,128553.42857142857
2021-03-21,253580.42857142858,11781.285714285714,126794.42857142857,117575.28571428571
2021-03-22,259342.0,11670.57142857143,130651.42857142857,119270.14285714286
2021-03-23,261892.14285714287,11780.0,132288.7142857143,120242.71428571429
2021-03-24,263000.4285714286,11818.142857142857,130439.71428571429,123403.57142857143
2021-03-25,254994.7142857143,9494.142857142857,127804.42857142857,118470.14285714286
2021-03-26,265023.4285714286,10388.714285714286,132176.85714285713,124074.14285714286
2021-03-27,264521.14285714284,10695.285714285714,132226.0,123504.0
2021-03-28,263721.5714285714,11028.857142857143,131598.7142857143,123344.28571428571
2021-03-29,253814.57142857142,10373.0,127517.28571428571,117796.57142857143
2021-03-30,245975.85714285713,10679.714285714286,125072.14285714286,112512.85714285714
2021-03-31,235586.0,10253.857142857143,123829.57142857143,103421.14285714286
2021-04-01,222098.2857142857,9817.0,118404.0,95682.71428571429
2021-04-02,202603.0,8463.42857142857,110601.57142857143,84636.71428571429
2021-04-03,196825.7142857143,7922.142857142857,108398.42857142857,81415.0
2021-04-04,193571.42857142858,7262.571428571428,107857.57142857143,78862.42857142857
2021-04-05,188676.42857142858,7588.142857142857,105638.14285714286,76411.42857142857
2021-04-06,189020.14285714287,7559.714285714285,105770.42857142857,76611.57142857143
2021-04-07,190796.7142857143,7986.571428571428,106522.0,77605.57142857143
2021-04-08,197580.7142857143,8646.0,109572.42857142857,81178.42857142857
2021-04-09,208727.42857142858,9736.142857142857,114667.28571428571,86876.42857142857
2021-04-10,210231.14285714287,10379.857142857143,114944.42857142857,88030.42857142857
2021-04-11,213890.57142857142,10414.42857142857,116764.28571428571,89758.42857142857
2021-04-12,215640.7142857143,9951.285714285714,117585.57142857143,90733.28571428571
2021-04-13,215815.42857142858,10493.42857142857,117342.14285714286,91179.0
2021-04-14,214857.7142857143,10163.285714285714,116332.71428571429,91330.57142857143
2021-04-15,213589.0,9865.57142857143,115530.28571428571,90931.28571428571
2021-04-16,209215.57142857142,9415.142857142857,115082.57142857143,87129.28571428571
2021-04-17,206661.57142857142,8860.285714285714,114604.85714285714,85123.85714285714
2021-04-18,202632.14285714287,8471.0,111396.14285714286,84486.42857142857
2021-04-19,215291.85714285713,8543.285714285714,111900.85714285714,96529.0
2021-04-20,223591.85714285713,7954.857142857143,111513.42857142857,105291.85714285714
2021-04-21,226525.42857142858,7810.0,111434.42857142857,108288.71428571429
2021-04-22,222540.57142857142,7697.714285714285,109792.0,106064.57142857143
2021-04-23,218523.7142857143,7282.285714285715,107755.42857142857,104187.85714285714
2021-04-24,217083.42857142858,7150.428571428572,107440.42857142857,103056.71428571429
2021-04-25,215728.57142857142,6982.0,108190.57142857143,100998.28571428571
2021-04-26,205347.57142857142,7822.142857142857,109048.0,89696.57142857143
2021-04-27,193805.2857142857,7802.571428571428,108913.14285714286,78239.71428571429
2021-04-28,187780.7142857143,7635.285714285715,109025.0,71761.42857142857
