,Total page views,Amp page views,Subscriber page views,Anonymous page views
2021-04-29,189239.85714285713,7958.428571428572,110104.28571428571,71445.85714285714
2021-04-30,186873.14285714287,7780.857142857143,109154.0,69600.28571428571
2021-05-01,181731.42857142858,7460.857142857143,107210.28571428571,66339.57142857143
2021-05-02,179076.2857142857,7800.0,106721.28571428571,63839.142857142855
2021-05-03,167790.57142857142,7000.142857142857,101034.28571428571,58281.142857142855
2021-05-04,161911.57142857142,6460.142857142857,98556.71428571429,54794.42857142857
2021-05-05,159720.14285714287,6560.714285714285,97536.71428571429,53932.71428571428
2021-05-06,155562.42857142858,5856.857142857143,96634.14285714286,51408.857142857145
2021-05-07,157625.85714285713,5742.714285714285,99447.14285714286,51033.71428571428
2021-05-08,163118.2857142857,6106.285714285715,103262.85714285714,52733.57142857143
2021-05-09,168711.85714285713,6514.714285714285,106808.28571428571,54919.28571428572
2021-05-10,179472.2857142857,6561.0,113262.85714285714,59201.28571428572
2021-05-11,185748.14285714287,6632.285714285715,116101.57142857143,62744.42857142857
2021-05-12,184477.0,6147.285714285715,115097.85714285714,62653.0
2021-05-13,185994.14285714287,6645.142857142857,115699.42857142857,63399.0
2021-05-14,183842.7142857143,6491.0,113386.14285714286,63643.28571428572
2021-05-15,183209.14285714287,6301.857142857143,111555.14285714286,64821.0
2021-05-16,180702.2857142857,5838.285714285715,108305.0,65658.0
2021-05-17,176156.0,5701.0,105363.14285714286,64201.0
2021-05-18,178049.7142857143,5628.285714285715,103940.42857142857,67498.57142857143
